A,B,C,D,E,F,G,H,I,target
0.172,2,+,2.316,2,4,3.853,-7.452,0.350,0
0.036,3,-,2.223,1,6,6.835,2.573,2.604,0
0.998,6,-,1.853,2,1,2.128,-6.130,0.226,0
0.819,5,-,2.159,1,4,6.741,5.502,1.146,0
0.933,3,+,1.749,2,3,6.629,-5.494,0.459,1
0.469,6,-,2.363,3,10,5.939,-4.315,0.617,0
0.493,3,-,2.150,2,7,5.659,-4.804,0.518,0
0.855,3,+,1.958,3,10,5.422,-4.841,0.408,1
0.506,8,-,1.827,2,6,1.831,-7.085,0.295,0
0.882,5,-,1.705,,10,6.355,7.364,1.513,0
0.854,2,-,2.065,3,5,6.430,5.038,1.061,1
0.417,5,-,1.668,2,6,2.354,0.064,1.369,0
0.532,2,+,1.742,1,4,3.425,-6.438,0.320,0
0.821,2,+,2.390,3,4,5.729,-6.033,0.473,1
0.783,7,-,2.747,1,2,6.467,-1.198,0.945,1
0.465,5,+,2.228,2,6,3.376,2.929,1.332,0
0.650,4,-,1.910,3,7,5.728,-5.213,0.532,1
0.362,2,-,2.434,3,4,4.700,4.182,1.250,0
0.149,4,-,1.652,3,1,2.762,7.806,3.057,1
0.678,4,-,1.901,,1,5.675,-6.999,0.305,0
0.643,2,-,1.971,1,6,5.103,4.393,1.508,0
0.626,5,-,1.711,3,1,3.203,-7.676,0.284,0
0.930,6,+,2.021,2,10,3.556,4.775,1.557,0
0.332,6,-,1.916,2,5,6.131,4.282,1.828,0
0.380,4,-,2.006,3,8,2.271,-3.833,0.714,1
0.922,5,-,1.697,2,10,5.346,-9.992,0.001,0
0.118,7,-,1.651,1,4,2.419,-4.602,0.941,0
0.344,9,-,2.173,3,9,5.093,-2.252,0.700,0
0.115,7,-,2.349,2,7,7.155,-3.238,1.231,1
0.300,6,-,2.381,3,9,6.219,-5.360,0.682,1
0.915,5,-,1.958,1,6,6.487,-6.203,0.340,0
0.330,8,-,1.937,3,2,5.051,-0.903,1.225,0
0.267,7,-,1.720,2,7,4.745,6.089,2.952,0
0.114,5,-,1.848,3,5,5.076,-7.500,0.485,1
0.870,5,+,1.664,3,8,2.554,4.897,0.944,0
0.289,5,+,2.764,1,2,5.821,-7.995,0.362,1
0.963,7,-,2.891,,6,6.229,6.748,1.726,0
0.989,9,-,2.348,2,3,5.325,10.795,1.219,0
0.178,7,-,2.726,2,1,3.529,2.872,2.106,0
0.381,4,+,2.172,2,9,5.432,8.209,2.239,0
0.011,5,+,1.665,1,9,5.510,2.340,2.976,0
0.961,4,-,1.812,3,9,4.579,-1.765,0.653,0
0.146,9,-,1.834,3,9,7.129,4.458,1.838,1
0.025,3,-,2.273,2,1,1.990,5.415,3.522,0
0.539,3,-,2.568,1,10,6.819,5.141,1.645,0
0.123,4,-,1.957,,9,6.826,-7.041,0.522,1
0.832,4,-,1.738,1,3,5.271,6.908,1.559,0
0.087,4,-,1.892,2,3,5.129,3.924,1.668,0
0.190,8,-,2.947,2,8,7.124,-5.447,0.907,1
0.522,9,+,1.996,1,2,4.623,8.316,2.297,0
0.102,2,+,1.660,2,6,5.669,5.503,2.444,1
0.898,6,-,2.374,3,5,5.245,4.469,1.320,0
0.052,4,+,2.195,1,2,5.364,-2.136,1.722,0
0.898,6,-,1.652,,10,2.932,2.904,1.167,0
0.548,6,-,1.832,3,1,5.635,-5.123,0.646,0
0.597,3,+,1.826,1,4,2.086,4.624,1.392,0
0.039,2,+,1.876,2,5,6.441,-5.341,0.914,1
0.011,4,+,2.466,1,9,5.373,-4.159,0.929,0
0.131,4,+,2.032,3,3,5.178,-3.020,1.378,1
0.770,4,-,2.143,3,1,5.998,4.514,1.083,1
0.446,6,-,2.598,2,10,6.711,-4.505,0.780,0
0.885,8,+,2.127,2,2,6.714,-8.904,0.075,1
0.208,7,-,2.643,1,9,5.096,-7.136,0.362,1
0.273,3,-,2.234,2,4,6.232,-3.815,0.732,0
0.246,3,-,1.777,3,7,3.354,-3.144,1.140,0
0.977,4,-,1.934,2,3,5.016,8.906,2.002,0
0.442,4,-,1.783,3,4,4.879,-2.483,1.088,0
0.949,2,-,2.053,1,3,6.107,-6.063,0.325,0
0.102,5,-,1.743,2,4,6.046,3.733,2.614,0
0.814,8,-,1.845,2,2,5.417,-3.615,0.691,0
0.258,9,-,1.987,2,2,3.517,5.070,2.162,0
0.944,5,-,1.774,3,1,2.904,-8.134,0.139,0
0.703,5,-,2.288,3,5,3.267,2.130,1.377,1
0.378,8,-,1.787,1,7,5.625,3.182,1.549,0
0.285,4,-,1.885,2,4,6.271,2.565,1.532,0
0.218,3,-,1.738,2,9,6.317,-3.712,0.694,1
0.396,3,-,3.706,3,3,3.637,-5.926,0.456,0
0.078,6,-,1.671,1,8,7.530,-6.790,0.398,0
0.985,3,-,2.233,1,8,5.876,6.461,1.836,0
0.369,5,-,1.947,1,3,4.922,3.857,2.213,0
0.454,11,-,2.184,1,3,7.198,9.365,2.587,0
0.012,7,-,1.832,1,8,5.290,3.528,2.364,0
0.244,5,-,1.818,1,2,4.590,-5.533,0.733,0
